city,confirm,dead,heal,suspect,source,update_time
Hokkaido,4,0,0,0,厚生劳动省,20200306
Shiga,1,0,0,0,厚生劳动省,20200306
Aomori,0,0,0,0,厚生劳动省,20200306
Kyoto,3,0,0,0,厚生劳动省,20200306
Iwate,0,0,0,0,厚生劳动省,20200306
Osaka,10,0,0,0,厚生劳动省,20200306
Miyagi,0,0,0,0,厚生劳动省,20200306
Hyōgo,3,0,0,0,厚生劳动省,20200306
Akita,0,0,0,0,厚生劳动省,20200306
Nara,0,0,0,0,厚生劳动省,20200306
Yamagata,0,0,0,0,厚生劳动省,20200306
Wakayama,1,0,0,0,厚生劳动省,20200306
Fukushima,0,0,0,0,厚生劳动省,20200306
Tottori,0,0,0,0,厚生劳动省,20200306
Ibaraki,0,0,0,0,厚生劳动省,20200306
Shimane,0,0,0,0,厚生劳动省,20200306
Tochigi,0,0,0,0,厚生劳动省,20200306
Okayama,0,0,0,0,厚生劳动省,20200306
Gunma,0,0,0,0,厚生劳动省,20200306
Hiroshima,0,0,0,0,厚生劳动省,20200306
Saitama,2,0,0,0,厚生劳动省,20200306
Yamaguchi,2,0,0,0,厚生劳动省,20200306
Chiba,1,0,0,0,厚生劳动省,20200306
Tokushima,0,0,0,0,厚生劳动省,20200306
Tokyo,12,0,0,0,厚生劳动省,20200306
Kagawa,0,0,0,0,厚生劳动省,20200306
Kanagawa,0,0,0,0,厚生劳动省,20200306
Ehime,1,0,0,0,厚生劳动省,20200306
Niigata,1,0,0,0,厚生劳动省,20200306
Kochi,4,0,0,0,厚生劳动省,20200306
Toyama,0,0,0,0,厚生劳动省,20200306
Fukuoka,0,0,0,0,厚生劳动省,20200306
Ishikawa,0,0,0,0,厚生劳动省,20200306
Saga,0,0,0,0,厚生劳动省,20200306
Fukui,0,0,0,0,厚生劳动省,20200306
Naoasaki,0,0,0,0,厚生劳动省,20200306
Yamanashi,0,0,0,0,厚生劳动省,20200306
Kumamoto,1,0,0,0,厚生劳动省,20200306
Nagano,0,0,0,0,厚生劳动省,20200306
Oita,1,0,0,0,厚生劳动省,20200306
Gifu,0,0,0,0,厚生劳动省,20200306
Miyazaki,0,0,0,0,厚生劳动省,20200306
Shizuoka,0,0,0,0,厚生劳动省,20200306
Kagoshima,0,0,0,0,厚生劳动省,20200306
Aichi,16,0,0,0,厚生劳动省,20200306
Okinawa,0,0,0,0,厚生劳动省,20200306
Mie,0,0,0,0,厚生劳动省,20200306
Diamond Princess,0,0,0,0,厚生劳动省,20200306
