city,confirm,dead,heal,suspect,source,update_time
Hokkaido,2,0,0,0,厚生劳动省,20200303
Kyoto,0,0,0,0,厚生劳动省,20200303
Miyagi,0,0,0,0,厚生劳动省,20200303
Hyōgo,0,0,0,0,厚生劳动省,20200303
Nara,0,0,0,0,厚生劳动省,20200303
Wakayama,0,0,0,0,厚生劳动省,20200303
Tochigi,0,0,0,0,厚生劳动省,20200303
Saitama,0,0,0,0,厚生劳动省,20200303
Chiba,1,0,0,0,厚生劳动省,20200303
Tokushima,0,0,0,0,厚生劳动省,20200303
Tokyo,2,0,0,0,厚生劳动省,20200303
Kanagawa,3,0,0,0,厚生劳动省,20200303
Ehime,0,0,0,0,厚生劳动省,20200303
Niigata,1,0,0,0,厚生劳动省,20200303
Kochi,1,0,0,0,厚生劳动省,20200303
Fukuoka,1,0,0,0,厚生劳动省,20200303
Ishikawa,0,0,0,0,厚生劳动省,20200303
Kumamoto,0,0,0,0,厚生劳动省,20200303
Nagano,0,0,0,0,厚生劳动省,20200303
Gifu,0,0,0,0,厚生劳动省,20200303
Shizuoka,0,0,0,0,厚生劳动省,20200303
Aichi,3,0,0,0,厚生劳动省,20200303
Osaka,0,0,0,0,厚生劳动省,20200303
Mie,0,0,0,0,厚生劳动省,20200303
Diamond Princess,1,0,0,0,厚生劳动省,20200303
