city,confirm,dead,heal,suspect,source,update_time
Seoul,7,0,0,0,,20200303
Busan,2,0,0,0,,20200303
Daegu,519,0,0,0,,20200303
Incheon,0,0,0,0,,20200303
Gwangju,2,0,0,0,,20200303
Daejeon,0,0,0,0,,20200303
Ulsan,0,0,0,0,,20200303
Sejong,0,0,0,0,,20200303
Gyeonggi-do,2,0,0,0,,20200303
Gangwon,1,0,0,0,,20200303
ChungCheongbuk-do,1,0,0,0,,20200303
Chungcheongnam-do,3,0,0,0,,20200303
Jeollabuk-do,1,0,0,0,,20200303
Jeollanam-do,0,0,0,0,,20200303
Gyeongsangbuk-do,61,0,0,0,,20200303
Gyeongsangnam-do,0,0,0,0,,20200303
Jeju,1,0,0,0,,20200303
