city,confirm,dead,heal,suspect,source,update_time
Seoul,4,0,0,0,,20200305
Busan,0,0,1,0,,20200305
Daegu,320,0,0,0,,20200305
Incheon,0,0,0,0,,20200305
Gwangju,1,0,0,0,,20200305
Daejeon,1,0,0,0,,20200305
Ulsan,0,0,0,0,,20200305
Sejong,0,0,0,0,,20200305
Gyeonggi-do,9,0,0,0,,20200305
Gangwon,2,0,0,0,,20200305
ChungCheongbuk-do,1,0,0,0,,20200305
Chungcheongnam-do,4,0,0,0,,20200305
Jeollabuk-do,0,0,0,0,,20200305
Jeollanam-do,0,0,0,0,,20200305
Gyeongsangbuk-do,87,0,0,0,,20200305
Gyeongsangnam-do,9,0,0,0,,20200305
Jeju,1,0,0,0,,20200305
