city,confirm,dead,heal,suspect,source,update_time
Seoul,12,0,0,0,,20200229
Busan,14,0,0,0,,20200229
Daegu,741,0,0,0,,20200229
Incheon,2,0,0,0,,20200229
Gwangju,0,0,0,0,,20200229
Daejeon,2,0,0,0,,20200229
Ulsan,6,0,0,0,,20200229
Sejong,0,0,0,0,,20200229
Gyeonggi-do,10,0,0,0,,20200229
Gangwon,1,0,0,0,,20200229
ChungCheongbuk-do,0,0,0,0,,20200229
Chungcheongnam-do,32,0,0,0,,20200229
Jeollabuk-do,0,0,0,0,,20200229
Jeollanam-do,1,0,0,0,,20200229
Gyeongsangbuk-do,75,0,0,0,,20200229
Gyeongsangnam-do,13,0,0,0,,20200229
Jeju,0,0,0,0,,20200229
