city,confirm,dead,heal,suspect,source,update_time
Seoul,1,0,0,0,,20200304
Busan,3,0,0,0,,20200304
Daegu,405,0,0,0,,20200304
Incheon,2,0,0,0,,20200304
Gwangju,2,0,0,0,,20200304
Daejeon,1,0,0,0,,20200304
Ulsan,3,0,0,0,,20200304
Sejong,0,0,0,0,,20200304
Gyeonggi-do,7,0,0,0,,20200304
Gangwon,1,0,0,0,,20200304
ChungCheongbuk-do,0,0,0,0,,20200304
Chungcheongnam-do,1,0,0,0,,20200304
Jeollabuk-do,0,0,0,0,,20200304
Jeollanam-do,0,0,0,0,,20200304
Gyeongsangbuk-do,89,0,0,0,,20200304
Gyeongsangnam-do,1,0,0,0,,20200304
Jeju,0,0,0,0,,20200304
