city,confirm,dead,heal,suspect,source,update_time
Seoul,4,0,0,0,,20200302
Busan,5,0,0,0,,20200302
Daegu,377,0,0,0,,20200302
Incheon,1,0,0,0,,20200302
Gwangju,0,0,0,0,,20200302
Daejeon,1,0,0,0,,20200302
Ulsan,0,0,0,0,,20200302
Sejong,0,0,0,0,,20200302
Gyeonggi-do,3,0,0,0,,20200302
Gangwon,4,0,0,0,,20200302
ChungCheongbuk-do,0,0,0,0,,20200302
Chungcheongnam-do,10,0,0,0,,20200302
Jeollabuk-do,0,0,0,0,,20200302
Jeollanam-do,2,0,0,0,,20200302
Gyeongsangbuk-do,68,0,0,0,,20200302
Gyeongsangnam-do,1,0,0,0,,20200302
Jeju,0,0,0,0,,20200302
