city,confirm,dead,heal,suspect,source,update_time
Seoul,13,0,0,0,,20200301
Busan,6,0,0,0,,20200301
Daegu,649,0,0,0,,20200301
Incheon,0,0,0,0,,20200301
Gwangju,0,0,0,0,,20200301
Daejeon,0,0,0,0,,20200301
Ulsan,3,0,0,0,,20200301
Sejong,0,0,0,0,,20200301
Gyeonggi-do,13,0,0,0,,20200301
Gangwon,8,0,0,0,,20200301
ChungCheongbuk-do,1,0,0,0,,20200301
Chungcheongnam-do,20,0,0,0,,20200301
Jeollabuk-do,1,0,0,0,,20200301
Jeollanam-do,1,0,0,0,,20200301
Gyeongsangbuk-do,86,0,0,0,,20200301
Gyeongsangnam-do,4,0,0,0,,20200301
Jeju,0,0,0,0,,20200301
