city,confirm,dead,heal,suspect,source,update_time
Seoul,10,0,0,0,,20200227
Busan,8,0,0,0,,20200227
Daegu,340,0,0,0,,20200227
Incheon,0,0,0,0,,20200227
Gwangju,0,0,0,0,,20200227
Daejeon,5,0,0,0,,20200227
Ulsan,3,0,0,0,,20200227
Sejong,0,0,0,0,,20200227
Gyeonggi-do,12,0,0,0,,20200227
Gangwon,0,0,0,0,,20200227
Chungbuk,2,0,0,0,,20200227
Chungnam,5,0,0,0,,20200227
Jeollabuk-do,0,0,0,0,,20200227
Jeollanam-do,0,0,0,0,,20200227
Gyeongsangbuk-do,53,0,0,0,,20200227
Gyeongsangnam-do,11,0,0,0,,20200227
Jeju,0,0,0,0,,20200227
